file_name,dominant_emotion,emotions,stress_level
test_0034_aligned.jpg,fear,"{'angry': 1.768, 'disgust': 0.088, 'fear': 89.163, 'happy': 2.826, 'sad': 0.627, 'surprise': 5.509, 'neutral': 0.019}",Medium Stress
test_0042_aligned.jpg,happy,"{'angry': 0.327, 'disgust': 0.0, 'fear': 0.633, 'happy': 95.548, 'sad': 3.486, 'surprise': 0.001, 'neutral': 0.005}",Low Stress
test_0186_aligned.jpg,fear,"{'angry': 0.034, 'disgust': 0.0, 'fear': 99.843, 'happy': 0.107, 'sad': 0.001, 'surprise': 0.015, 'neutral': 0.0}",Medium Stress
test_0201_aligned.jpg,angry,"{'angry': 89.227, 'disgust': 0.0, 'fear': 0.089, 'happy': 10.595, 'sad': 0.066, 'surprise': 0.0, 'neutral': 0.023}",High Stress
test_0215_aligned.jpg,sad,"{'angry': 4.646, 'disgust': 0.0, 'fear': 0.036, 'happy': 0.0, 'sad': 95.038, 'surprise': 0.0, 'neutral': 0.279}",Medium Stress
test_0225_aligned.jpg,neutral,"{'angry': 0.543, 'disgust': 0.009, 'fear': 21.459, 'happy': 15.976, 'sad': 12.728, 'surprise': 0.022, 'neutral': 49.263}",Undefined Stress
test_0286_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 92.531, 'sad': 0.041, 'surprise': 0.035, 'neutral': 7.393}",Low Stress
test_0295_aligned.jpg,sad,"{'angry': 4.005, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.0, 'sad': 71.138, 'surprise': 0.0, 'neutral': 24.857}",Undefined Stress
test_0296_aligned.jpg,happy,"{'angry': 48.839, 'disgust': 0.0, 'fear': 0.0, 'happy': 50.076, 'sad': 0.732, 'surprise': 0.002, 'neutral': 0.351}",Low Stress
test_0321_aligned.jpg,angry,"{'angry': 48.868, 'disgust': 0.0, 'fear': 16.54, 'happy': 1.428, 'sad': 0.583, 'surprise': 0.372, 'neutral': 32.21}",High Stress
test_0327_aligned.jpg,angry,"{'angry': 98.251, 'disgust': 0.0, 'fear': 0.305, 'happy': 1.389, 'sad': 0.055, 'surprise': 0.0, 'neutral': 0.0}",High Stress
