file_name,dominant_emotion,emotions,stress_level
test_0023_aligned.jpg,neutral,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 26.837, 'sad': 0.0, 'surprise': 0.0, 'neutral': 73.163}",Low Stress
test_0089_aligned.jpg,fear,"{'angry': 0.037, 'disgust': 0.003, 'fear': 95.533, 'happy': 4.094, 'sad': 0.067, 'surprise': 0.192, 'neutral': 0.075}",Medium Stress
test_0099_aligned.jpg,fear,"{'angry': 0.013, 'disgust': 0.0, 'fear': 99.879, 'happy': 0.0, 'sad': 0.108, 'surprise': 0.0, 'neutral': 0.0}",Medium Stress
test_0274_aligned.jpg,angry,"{'angry': 50.719, 'disgust': 0.0, 'fear': 10.569, 'happy': 0.367, 'sad': 37.971, 'surprise': 0.0, 'neutral': 0.375}",High Stress
test_0623_aligned.jpg,fear,"{'angry': 19.94, 'disgust': 0.001, 'fear': 74.97, 'happy': 0.108, 'sad': 0.167, 'surprise': 4.745, 'neutral': 0.07}",Undefined Stress
test_0671_aligned.jpg,fear,"{'angry': 1.462, 'disgust': 0.282, 'fear': 86.181, 'happy': 5.748, 'sad': 5.766, 'surprise': 0.165, 'neutral': 0.395}",Medium Stress
test_0686_aligned.jpg,fear,"{'angry': 0.466, 'disgust': 0.001, 'fear': 53.334, 'happy': 6.32, 'sad': 0.049, 'surprise': 39.482, 'neutral': 0.348}",Medium Stress
test_0937_aligned.jpg,fear,"{'angry': 7.901, 'disgust': 0.246, 'fear': 43.295, 'happy': 0.686, 'sad': 31.795, 'surprise': 2.247, 'neutral': 13.83}",Undefined Stress
test_1341_aligned.jpg,fear,"{'angry': 0.183, 'disgust': 0.0, 'fear': 84.054, 'happy': 0.251, 'sad': 0.0, 'surprise': 15.513, 'neutral': 0.0}",Medium Stress
test_1484_aligned.jpg,fear,"{'angry': 10.856, 'disgust': 2.612, 'fear': 70.613, 'happy': 0.013, 'sad': 7.272, 'surprise': 2.212, 'neutral': 6.422}",Undefined Stress
test_1788_aligned.jpg,fear,"{'angry': 0.0, 'disgust': 0.0, 'fear': 99.92, 'happy': 0.08, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}",Medium Stress
test_2239_aligned.jpg,neutral,"{'angry': 1.026, 'disgust': 0.0, 'fear': 0.0, 'happy': 1.514, 'sad': 0.087, 'surprise': 0.0, 'neutral': 97.373}",Low Stress
test_2244_aligned.jpg,fear,"{'angry': 12.526, 'disgust': 0.0, 'fear': 58.033, 'happy': 0.0, 'sad': 29.441, 'surprise': 0.0, 'neutral': 0.0}",Undefined Stress
test_2245_aligned.jpg,happy,"{'angry': 0.057, 'disgust': 0.0, 'fear': 0.009, 'happy': 99.746, 'sad': 0.072, 'surprise': 0.0, 'neutral': 0.116}",Low Stress
test_2246_aligned.jpg,fear,"{'angry': 1.817, 'disgust': 0.0, 'fear': 98.182, 'happy': 0.0, 'sad': 0.0, 'surprise': 0.001, 'neutral': 0.0}",Medium Stress
test_2249_aligned.jpg,happy,"{'angry': 0.001, 'disgust': 0.0, 'fear': 0.0, 'happy': 98.771, 'sad': 1.224, 'surprise': 0.0, 'neutral': 0.004}",Low Stress
test_2254_aligned.jpg,sad,"{'angry': 0.037, 'disgust': 0.0, 'fear': 0.182, 'happy': 21.766, 'sad': 50.715, 'surprise': 0.0, 'neutral': 27.3}",Undefined Stress
test_2258_aligned.jpg,surprise,"{'angry': 0.625, 'disgust': 0.0, 'fear': 47.183, 'happy': 0.423, 'sad': 0.015, 'surprise': 51.555, 'neutral': 0.199}",Medium Stress
test_2259_aligned.jpg,happy,"{'angry': 30.267, 'disgust': 0.0, 'fear': 0.144, 'happy': 65.679, 'sad': 1.639, 'surprise': 2.127, 'neutral': 0.145}",Low Stress
test_2261_aligned.jpg,fear,"{'angry': 0.001, 'disgust': 0.0, 'fear': 95.61, 'happy': 0.133, 'sad': 0.0, 'surprise': 4.256, 'neutral': 0.0}",Medium Stress
test_2265_aligned.jpg,angry,"{'angry': 60.345, 'disgust': 6.194, 'fear': 26.248, 'happy': 0.102, 'sad': 3.458, 'surprise': 3.651, 'neutral': 0.002}",High Stress
test_2266_aligned.jpg,happy,"{'angry': 0.059, 'disgust': 0.0, 'fear': 0.05, 'happy': 99.881, 'sad': 0.01, 'surprise': 0.0, 'neutral': 0.0}",Low Stress
test_2268_aligned.jpg,sad,"{'angry': 3.961, 'disgust': 0.001, 'fear': 1.839, 'happy': 0.001, 'sad': 93.654, 'surprise': 0.0, 'neutral': 0.544}",Medium Stress
test_2269_aligned.jpg,sad,"{'angry': 0.422, 'disgust': 0.211, 'fear': 1.59, 'happy': 0.209, 'sad': 97.561, 'surprise': 0.001, 'neutral': 0.005}",Medium Stress
test_2279_aligned.jpg,sad,"{'angry': 0.153, 'disgust': 0.0, 'fear': 14.65, 'happy': 41.899, 'sad': 43.212, 'surprise': 0.0, 'neutral': 0.086}",Low Stress
test_2280_aligned.jpg,angry,"{'angry': 46.969, 'disgust': 14.426, 'fear': 13.014, 'happy': 0.279, 'sad': 25.133, 'surprise': 0.0, 'neutral': 0.18}",High Stress
test_2281_aligned.jpg,happy,"{'angry': 0.003, 'disgust': 0.0, 'fear': 0.0, 'happy': 99.87, 'sad': 0.126, 'surprise': 0.0, 'neutral': 0.001}",Low Stress
test_2284_aligned.jpg,fear,"{'angry': 0.449, 'disgust': 0.0, 'fear': 99.547, 'happy': 0.0, 'sad': 0.004, 'surprise': 0.0, 'neutral': 0.0}",Medium Stress
test_2293_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.032, 'happy': 98.497, 'sad': 1.472, 'surprise': 0.0, 'neutral': 0.0}",Low Stress
test_2781_aligned.jpg,fear,"{'angry': 7.891, 'disgust': 3.385, 'fear': 78.12, 'happy': 6.393, 'sad': 3.124, 'surprise': 0.567, 'neutral': 0.522}",Undefined Stress
