file_name,dominant_emotion,emotions,stress_level
test_0073_aligned.jpg,neutral,"{'angry': 0.029, 'disgust': 0.0, 'fear': 2.192, 'happy': 37.129, 'sad': 0.234, 'surprise': 13.319, 'neutral': 47.096}",Low Stress
test_0131_aligned.jpg,neutral,"{'angry': 0.11, 'disgust': 0.0, 'fear': 0.007, 'happy': 0.0, 'sad': 13.627, 'surprise': 0.0, 'neutral': 86.256}",Low Stress
test_0229_aligned.jpg,neutral,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 24.332, 'sad': 26.201, 'surprise': 0.0, 'neutral': 49.466}",Undefined Stress
test_0243_aligned.jpg,neutral,"{'angry': 0.134, 'disgust': 0.0, 'fear': 0.001, 'happy': 0.008, 'sad': 2.161, 'surprise': 0.219, 'neutral': 97.477}",Low Stress
test_0284_aligned.jpg,neutral,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.0, 'sad': 0.005, 'surprise': 0.0, 'neutral': 99.994}",Low Stress
test_0298_aligned.jpg,neutral,"{'angry': 0.02, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.0, 'sad': 0.133, 'surprise': 0.0, 'neutral': 99.847}",Low Stress
test_0383_aligned.jpg,neutral,"{'angry': 0.007, 'disgust': 0.0, 'fear': 0.755, 'happy': 0.0, 'sad': 4.002, 'surprise': 0.002, 'neutral': 95.234}",Low Stress
test_0394_aligned.jpg,neutral,"{'angry': 4.757, 'disgust': 0.002, 'fear': 0.349, 'happy': 0.114, 'sad': 11.085, 'surprise': 0.014, 'neutral': 83.679}",Low Stress
test_0456_aligned.jpg,neutral,"{'angry': 0.327, 'disgust': 0.0, 'fear': 0.268, 'happy': 0.694, 'sad': 42.792, 'surprise': 0.0, 'neutral': 55.92}",Low Stress
test_0655_aligned.jpg,neutral,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.0, 'sad': 0.35, 'surprise': 0.0, 'neutral': 99.65}",Low Stress
test_1065_aligned.jpg,neutral,"{'angry': 0.009, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.0, 'sad': 10.033, 'surprise': 0.0, 'neutral': 89.956}",Low Stress
test_1217_aligned.jpg,neutral,"{'angry': 2.291, 'disgust': 0.0, 'fear': 0.183, 'happy': 0.0, 'sad': 11.445, 'surprise': 0.0, 'neutral': 86.081}",Low Stress
