file_name,dominant_emotion,emotions,stress_level
test_0001_aligned.jpg,neutral,"{'angry': 0.046, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.0, 'sad': 19.352, 'surprise': 0.0, 'neutral': 80.602}",Low Stress
test_0031_aligned.jpg,angry,"{'angry': 55.385, 'disgust': 0.525, 'fear': 9.849, 'happy': 2.008, 'sad': 32.147, 'surprise': 0.007, 'neutral': 0.08}",High Stress
test_0035_aligned.jpg,sad,"{'angry': 30.605, 'disgust': 0.0, 'fear': 2.156, 'happy': 0.037, 'sad': 39.062, 'surprise': 0.003, 'neutral': 28.136}",Undefined Stress
test_0039_aligned.jpg,neutral,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.006, 'sad': 0.008, 'surprise': 0.007, 'neutral': 99.979}",Low Stress
test_0069_aligned.jpg,fear,"{'angry': 0.278, 'disgust': 0.0, 'fear': 80.868, 'happy': 0.552, 'sad': 12.923, 'surprise': 0.002, 'neutral': 5.378}",Medium Stress
test_0076_aligned.jpg,sad,"{'angry': 0.529, 'disgust': 0.0, 'fear': 0.019, 'happy': 0.125, 'sad': 97.081, 'surprise': 0.0, 'neutral': 2.246}",Medium Stress
test_0085_aligned.jpg,sad,"{'angry': 0.009, 'disgust': 0.0, 'fear': 24.546, 'happy': 0.006, 'sad': 71.385, 'surprise': 0.0, 'neutral': 4.054}",Medium Stress
test_0088_aligned.jpg,neutral,"{'angry': 0.135, 'disgust': 0.0, 'fear': 0.003, 'happy': 0.0, 'sad': 22.23, 'surprise': 0.0, 'neutral': 77.632}",Low Stress
test_0103_aligned.jpg,sad,"{'angry': 1.731, 'disgust': 0.073, 'fear': 2.216, 'happy': 14.977, 'sad': 68.157, 'surprise': 0.058, 'neutral': 12.789}",Undefined Stress
test_0107_aligned.jpg,happy,"{'angry': 3.762, 'disgust': 0.001, 'fear': 4.233, 'happy': 91.05, 'sad': 0.909, 'surprise': 0.045, 'neutral': 0.001}",Low Stress
test_0119_aligned.jpg,fear,"{'angry': 1.235, 'disgust': 0.001, 'fear': 39.131, 'happy': 0.073, 'sad': 37.804, 'surprise': 0.057, 'neutral': 21.7}",Undefined Stress
test_0171_aligned.jpg,fear,"{'angry': 0.0, 'disgust': 0.0, 'fear': 95.943, 'happy': 0.037, 'sad': 0.0, 'surprise': 4.016, 'neutral': 0.003}",Medium Stress
test_0180_aligned.jpg,happy,"{'angry': 0.884, 'disgust': 0.0, 'fear': 8.165, 'happy': 79.513, 'sad': 9.019, 'surprise': 1.745, 'neutral': 0.674}",Low Stress
test_0205_aligned.jpg,happy,"{'angry': 0.268, 'disgust': 0.004, 'fear': 37.253, 'happy': 44.555, 'sad': 17.745, 'surprise': 0.171, 'neutral': 0.004}",Low Stress
test_0210_aligned.jpg,sad,"{'angry': 2.897, 'disgust': 0.801, 'fear': 3.757, 'happy': 0.258, 'sad': 82.843, 'surprise': 0.002, 'neutral': 9.442}",Undefined Stress
test_0217_aligned.jpg,angry,"{'angry': 43.53, 'disgust': 24.751, 'fear': 6.119, 'happy': 0.673, 'sad': 20.449, 'surprise': 0.02, 'neutral': 4.457}",High Stress
test_0220_aligned.jpg,sad,"{'angry': 0.541, 'disgust': 0.0, 'fear': 16.264, 'happy': 0.001, 'sad': 41.999, 'surprise': 0.0, 'neutral': 41.195}",Undefined Stress
test_0240_aligned.jpg,happy,"{'angry': 1.477, 'disgust': 0.0, 'fear': 2.618, 'happy': 78.726, 'sad': 17.112, 'surprise': 0.064, 'neutral': 0.003}",Low Stress
test_0278_aligned.jpg,sad,"{'angry': 20.016, 'disgust': 0.049, 'fear': 4.407, 'happy': 1.004, 'sad': 65.249, 'surprise': 0.107, 'neutral': 9.167}",Undefined Stress
test_0314_aligned.jpg,sad,"{'angry': 8.251, 'disgust': 0.003, 'fear': 0.676, 'happy': 0.0, 'sad': 75.752, 'surprise': 0.0, 'neutral': 15.318}",Undefined Stress
test_0336_aligned.jpg,sad,"{'angry': 1.893, 'disgust': 0.004, 'fear': 31.618, 'happy': 0.001, 'sad': 36.634, 'surprise': 0.009, 'neutral': 29.841}",Undefined Stress
test_0342_aligned.jpg,neutral,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.024, 'happy': 0.238, 'sad': 3.177, 'surprise': 0.0, 'neutral': 96.562}",Low Stress
test_0348_aligned.jpg,neutral,"{'angry': 1.683, 'disgust': 0.0, 'fear': 5.301, 'happy': 0.001, 'sad': 36.605, 'surprise': 0.0, 'neutral': 56.409}",Low Stress
test_0351_aligned.jpg,happy,"{'angry': 3.151, 'disgust': 4.169, 'fear': 0.45, 'happy': 86.615, 'sad': 5.428, 'surprise': 0.0, 'neutral': 0.187}",Low Stress
test_0356_aligned.jpg,sad,"{'angry': 34.423, 'disgust': 0.0, 'fear': 0.115, 'happy': 28.381, 'sad': 37.048, 'surprise': 0.0, 'neutral': 0.033}",Undefined Stress
test_0365_aligned.jpg,surprise,"{'angry': 0.162, 'disgust': 0.0, 'fear': 0.749, 'happy': 29.615, 'sad': 0.002, 'surprise': 69.464, 'neutral': 0.008}",Undefined Stress
