file_name,dominant_emotion,emotions,stress_level
test_0017_aligned.jpg,neutral,"{'angry': 0.022, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.0, 'sad': 0.336, 'surprise': 0.0, 'neutral': 99.642}",Low Stress
test_0027_aligned.jpg,happy,"{'angry': 24.349, 'disgust': 0.03, 'fear': 34.193, 'happy': 40.562, 'sad': 0.157, 'surprise': 0.709, 'neutral': 0.0}",Low Stress
test_0037_aligned.jpg,happy,"{'angry': 11.646, 'disgust': 0.0, 'fear': 6.072, 'happy': 82.282, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}",Low Stress
test_0057_aligned.jpg,neutral,"{'angry': 1.786, 'disgust': 0.0, 'fear': 0.014, 'happy': 4.445, 'sad': 0.693, 'surprise': 0.006, 'neutral': 93.057}",Low Stress
test_0091_aligned.jpg,angry,"{'angry': 71.763, 'disgust': 0.0, 'fear': 1.606, 'happy': 0.437, 'sad': 24.06, 'surprise': 0.0, 'neutral': 2.133}",High Stress
test_0136_aligned.jpg,angry,"{'angry': 99.51, 'disgust': 0.0, 'fear': 0.441, 'happy': 0.032, 'sad': 0.018, 'surprise': 0.0, 'neutral': 0.0}",High Stress
test_0185_aligned.jpg,angry,"{'angry': 95.256, 'disgust': 0.0, 'fear': 1.608, 'happy': 0.176, 'sad': 2.883, 'surprise': 0.001, 'neutral': 0.077}",High Stress
test_0190_aligned.jpg,angry,"{'angry': 90.25, 'disgust': 0.186, 'fear': 0.253, 'happy': 0.001, 'sad': 9.22, 'surprise': 0.0, 'neutral': 0.089}",High Stress
test_0216_aligned.jpg,angry,"{'angry': 78.234, 'disgust': 0.0, 'fear': 0.021, 'happy': 21.356, 'sad': 0.389, 'surprise': 0.0, 'neutral': 0.0}",High Stress
test_0228_aligned.jpg,happy,"{'angry': 0.622, 'disgust': 0.0, 'fear': 4.369, 'happy': 91.344, 'sad': 0.261, 'surprise': 0.156, 'neutral': 3.247}",Low Stress
test_0244_aligned.jpg,angry,"{'angry': 55.194, 'disgust': 0.0, 'fear': 0.013, 'happy': 44.788, 'sad': 0.0, 'surprise': 0.001, 'neutral': 0.003}",Low Stress
test_0301_aligned.jpg,happy,"{'angry': 0.027, 'disgust': 0.0, 'fear': 0.0, 'happy': 95.316, 'sad': 3.271, 'surprise': 0.0, 'neutral': 1.385}",Low Stress
test_0347_aligned.jpg,fear,"{'angry': 0.568, 'disgust': 0.0, 'fear': 99.207, 'happy': 0.219, 'sad': 0.006, 'surprise': 0.0, 'neutral': 0.0}",Medium Stress
test_0349_aligned.jpg,angry,"{'angry': 75.135, 'disgust': 0.0, 'fear': 0.004, 'happy': 24.861, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}",High Stress
test_0358_aligned.jpg,happy,"{'angry': 14.182, 'disgust': 0.0, 'fear': 0.013, 'happy': 84.292, 'sad': 0.275, 'surprise': 0.027, 'neutral': 1.211}",Low Stress
