file_name,dominant_emotion,emotions,stress_level
test_0007_aligned.jpg,angry,"{'angry': 99.146, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.135, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.719}",High Stress
test_0011_aligned.jpg,angry,"{'angry': 84.429, 'disgust': 0.048, 'fear': 3.585, 'happy': 6.498, 'sad': 4.602, 'surprise': 0.052, 'neutral': 0.786}",High Stress
test_0018_aligned.jpg,angry,"{'angry': 68.702, 'disgust': 0.0, 'fear': 17.572, 'happy': 7.196, 'sad': 5.805, 'surprise': 0.258, 'neutral': 0.466}",High Stress
test_0081_aligned.jpg,neutral,"{'angry': 9.29, 'disgust': 0.0, 'fear': 0.059, 'happy': 1.24, 'sad': 10.871, 'surprise': 0.042, 'neutral': 78.498}",Low Stress
test_0110_aligned.jpg,angry,"{'angry': 92.921, 'disgust': 0.0, 'fear': 6.269, 'happy': 0.0, 'sad': 0.755, 'surprise': 0.01, 'neutral': 0.045}",High Stress
test_0146_aligned.jpg,neutral,"{'angry': 1.332, 'disgust': 0.0, 'fear': 0.004, 'happy': 0.113, 'sad': 3.142, 'surprise': 0.0, 'neutral': 95.41}",Low Stress
test_0148_aligned.jpg,neutral,"{'angry': 18.328, 'disgust': 0.02, 'fear': 17.494, 'happy': 1.525, 'sad': 24.15, 'surprise': 0.082, 'neutral': 38.401}",Undefined Stress
test_0149_aligned.jpg,fear,"{'angry': 42.308, 'disgust': 0.008, 'fear': 44.885, 'happy': 0.014, 'sad': 6.599, 'surprise': 0.097, 'neutral': 6.088}",High Stress
test_0172_aligned.jpg,happy,"{'angry': 0.04, 'disgust': 0.002, 'fear': 5.546, 'happy': 91.296, 'sad': 0.4, 'surprise': 0.99, 'neutral': 1.726}",Low Stress
test_0263_aligned.jpg,angry,"{'angry': 92.093, 'disgust': 0.0, 'fear': 1.787, 'happy': 0.122, 'sad': 5.893, 'surprise': 0.002, 'neutral': 0.103}",High Stress
