file_name,dominant_emotion,emotions,stress_level
test_0059_aligned.jpg,neutral,"{'angry': 1.354, 'disgust': 0.0, 'fear': 0.028, 'happy': 0.633, 'sad': 0.83, 'surprise': 0.049, 'neutral': 97.106}",Low Stress
test_0077_aligned.jpg,fear,"{'angry': 5.08, 'disgust': 0.0, 'fear': 87.488, 'happy': 4.609, 'sad': 0.006, 'surprise': 2.809, 'neutral': 0.008}",Medium Stress
test_0377_aligned.jpg,sad,"{'angry': 0.0, 'disgust': 0.0, 'fear': 38.87, 'happy': 0.0, 'sad': 60.999, 'surprise': 0.0, 'neutral': 0.131}",Medium Stress
test_0564_aligned.jpg,fear,"{'angry': 1.792, 'disgust': 0.0, 'fear': 58.054, 'happy': 0.048, 'sad': 34.848, 'surprise': 1.612, 'neutral': 3.645}",Medium Stress
test_0674_aligned.jpg,happy,"{'angry': 21.799, 'disgust': 0.0, 'fear': 0.0, 'happy': 74.39, 'sad': 1.292, 'surprise': 0.006, 'neutral': 2.514}",Low Stress
test_0777_aligned.jpg,angry,"{'angry': 67.795, 'disgust': 0.0, 'fear': 17.145, 'happy': 2.87, 'sad': 0.07, 'surprise': 12.11, 'neutral': 0.009}",High Stress
test_0859_aligned.jpg,happy,"{'angry': 0.001, 'disgust': 0.0, 'fear': 0.255, 'happy': 80.428, 'sad': 0.172, 'surprise': 0.041, 'neutral': 19.103}",Low Stress
test_0970_aligned.jpg,happy,"{'angry': 0.059, 'disgust': 0.0, 'fear': 0.0, 'happy': 98.904, 'sad': 0.013, 'surprise': 0.002, 'neutral': 1.021}",Low Stress
test_1055_aligned.jpg,happy,"{'angry': 0.725, 'disgust': 0.0, 'fear': 0.05, 'happy': 99.22, 'sad': 0.004, 'surprise': 0.002, 'neutral': 0.0}",Low Stress
test_1250_aligned.jpg,happy,"{'angry': 0.433, 'disgust': 0.0, 'fear': 0.002, 'happy': 82.785, 'sad': 0.202, 'surprise': 0.023, 'neutral': 16.555}",Low Stress
test_1477_aligned.jpg,neutral,"{'angry': 24.678, 'disgust': 0.006, 'fear': 7.186, 'happy': 0.088, 'sad': 10.376, 'surprise': 0.07, 'neutral': 57.597}",Low Stress
test_1569_aligned.jpg,neutral,"{'angry': 1.026, 'disgust': 0.0, 'fear': 0.019, 'happy': 0.513, 'sad': 5.514, 'surprise': 0.0, 'neutral': 92.927}",Low Stress
test_1802_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.125, 'happy': 86.846, 'sad': 0.009, 'surprise': 0.453, 'neutral': 12.567}",Low Stress
test_2240_aligned.jpg,happy,"{'angry': 0.55, 'disgust': 0.001, 'fear': 0.106, 'happy': 56.581, 'sad': 0.438, 'surprise': 1.068, 'neutral': 41.256}",Low Stress
test_2241_aligned.jpg,fear,"{'angry': 0.0, 'disgust': 0.0, 'fear': 97.433, 'happy': 2.555, 'sad': 0.007, 'surprise': 0.0, 'neutral': 0.004}",Medium Stress
test_2242_aligned.jpg,surprise,"{'angry': 3.674, 'disgust': 0.0, 'fear': 4.382, 'happy': 0.003, 'sad': 0.0, 'surprise': 91.932, 'neutral': 0.009}",Medium Stress
test_2243_aligned.jpg,angry,"{'angry': 97.761, 'disgust': 0.0, 'fear': 0.136, 'happy': 0.811, 'sad': 0.897, 'surprise': 0.001, 'neutral': 0.393}",High Stress
test_2248_aligned.jpg,happy,"{'angry': 2.202, 'disgust': 0.014, 'fear': 0.725, 'happy': 92.845, 'sad': 1.3, 'surprise': 0.023, 'neutral': 2.891}",Low Stress
test_2250_aligned.jpg,surprise,"{'angry': 0.342, 'disgust': 0.001, 'fear': 0.308, 'happy': 3.958, 'sad': 0.022, 'surprise': 88.407, 'neutral': 6.962}",Undefined Stress
test_2251_aligned.jpg,happy,"{'angry': 0.066, 'disgust': 0.033, 'fear': 0.502, 'happy': 99.026, 'sad': 0.001, 'surprise': 0.255, 'neutral': 0.117}",Low Stress
