file_name,dominant_emotion,emotions,stress_level
test_0009_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 100.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}",Low Stress
test_0010_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 100.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}",Low Stress
test_0012_aligned.jpg,fear,"{'angry': 1.183, 'disgust': 0.0, 'fear': 87.734, 'happy': 10.8, 'sad': 0.257, 'surprise': 0.0, 'neutral': 0.026}",Undefined Stress
test_0013_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 100.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}",Low Stress
test_0014_aligned.jpg,happy,"{'angry': 0.027, 'disgust': 0.0, 'fear': 0.0, 'happy': 97.174, 'sad': 0.64, 'surprise': 0.0, 'neutral': 2.159}",Low Stress
test_0019_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 98.077, 'sad': 0.0, 'surprise': 0.0, 'neutral': 1.923}",Low Stress
test_0020_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 99.988, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.011}",Low Stress
test_0021_aligned.jpg,happy,"{'angry': 0.024, 'disgust': 0.0, 'fear': 0.045, 'happy': 99.49, 'sad': 0.121, 'surprise': 0.176, 'neutral': 0.144}",Low Stress
test_0025_aligned.jpg,happy,"{'angry': 0.025, 'disgust': 0.0, 'fear': 2.07, 'happy': 97.904, 'sad': 0.001, 'surprise': 0.0, 'neutral': 0.0}",Low Stress
test_0026_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 99.209, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.791}",Low Stress
test_0029_aligned.jpg,neutral,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 27.939, 'sad': 0.002, 'surprise': 0.0, 'neutral': 72.059}",Low Stress
test_0032_aligned.jpg,happy,"{'angry': 0.026, 'disgust': 0.0, 'fear': 0.025, 'happy': 96.631, 'sad': 1.918, 'surprise': 0.26, 'neutral': 1.139}",Low Stress
test_0033_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 99.998, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.002}",Low Stress
test_0038_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 100.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}",Low Stress
test_0040_aligned.jpg,happy,"{'angry': 0.001, 'disgust': 0.0, 'fear': 0.0, 'happy': 76.382, 'sad': 0.017, 'surprise': 0.017, 'neutral': 23.583}",Low Stress
test_0041_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 97.01, 'sad': 0.001, 'surprise': 0.0, 'neutral': 2.988}",Low Stress
test_0044_aligned.jpg,happy,"{'angry': 0.066, 'disgust': 0.0, 'fear': 0.0, 'happy': 94.331, 'sad': 0.034, 'surprise': 0.0, 'neutral': 5.568}",Low Stress
test_0046_aligned.jpg,happy,"{'angry': 0.001, 'disgust': 0.0, 'fear': 0.0, 'happy': 67.419, 'sad': 0.003, 'surprise': 0.198, 'neutral': 32.38}",Low Stress
test_0047_aligned.jpg,happy,"{'angry': 0.001, 'disgust': 0.0, 'fear': 0.0, 'happy': 99.927, 'sad': 0.001, 'surprise': 0.051, 'neutral': 0.02}",Low Stress
test_0048_aligned.jpg,happy,"{'angry': 0.002, 'disgust': 0.0, 'fear': 0.0, 'happy': 99.988, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.01}",Low Stress
test_0050_aligned.jpg,neutral,"{'angry': 0.016, 'disgust': 0.0, 'fear': 0.075, 'happy': 21.655, 'sad': 2.011, 'surprise': 0.006, 'neutral': 76.237}",Low Stress
test_0051_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 99.995, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.005}",Low Stress
test_0053_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 98.725, 'sad': 0.0, 'surprise': 0.0, 'neutral': 1.275}",Low Stress
test_0058_aligned.jpg,happy,"{'angry': 0.045, 'disgust': 0.0, 'fear': 0.198, 'happy': 82.791, 'sad': 0.222, 'surprise': 1.974, 'neutral': 14.77}",Low Stress
test_0063_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.013, 'happy': 99.612, 'sad': 0.003, 'surprise': 0.0, 'neutral': 0.372}",Low Stress
test_0065_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 100.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}",Low Stress
test_0066_aligned.jpg,neutral,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.0, 'sad': 0.016, 'surprise': 0.0, 'neutral': 99.984}",Low Stress
test_0067_aligned.jpg,happy,"{'angry': 0.025, 'disgust': 0.0, 'fear': 0.034, 'happy': 61.281, 'sad': 19.735, 'surprise': 0.0, 'neutral': 18.925}",Low Stress
test_0071_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.181, 'happy': 92.954, 'sad': 0.018, 'surprise': 0.006, 'neutral': 6.842}",Low Stress
test_0074_aligned.jpg,neutral,"{'angry': 0.601, 'disgust': 0.0, 'fear': 0.04, 'happy': 30.62, 'sad': 3.53, 'surprise': 0.008, 'neutral': 65.2}",Low Stress
test_0075_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.01, 'happy': 99.977, 'sad': 0.007, 'surprise': 0.0, 'neutral': 0.005}",Low Stress
test_0078_aligned.jpg,neutral,"{'angry': 30.075, 'disgust': 0.0, 'fear': 9.316, 'happy': 17.46, 'sad': 3.273, 'surprise': 0.011, 'neutral': 39.865}",Undefined Stress
test_0082_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 100.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}",Low Stress
test_0083_aligned.jpg,happy,"{'angry': 0.005, 'disgust': 0.0, 'fear': 0.0, 'happy': 93.621, 'sad': 0.003, 'surprise': 0.001, 'neutral': 6.37}",Low Stress
test_0087_aligned.jpg,happy,"{'angry': 0.037, 'disgust': 0.0, 'fear': 0.008, 'happy': 97.461, 'sad': 0.001, 'surprise': 0.181, 'neutral': 2.312}",Low Stress
test_0092_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 99.956, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.044}",Low Stress
test_0093_aligned.jpg,happy,"{'angry': 0.087, 'disgust': 0.0, 'fear': 0.482, 'happy': 73.861, 'sad': 1.297, 'surprise': 0.481, 'neutral': 23.791}",Low Stress
test_0097_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 100.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}",Low Stress
test_0098_aligned.jpg,happy,"{'angry': 0.007, 'disgust': 0.0, 'fear': 0.118, 'happy': 88.623, 'sad': 0.426, 'surprise': 0.007, 'neutral': 10.819}",Low Stress
test_0101_aligned.jpg,sad,"{'angry': 22.726, 'disgust': 0.002, 'fear': 0.661, 'happy': 3.145, 'sad': 55.127, 'surprise': 0.0, 'neutral': 18.34}",Undefined Stress
test_0105_aligned.jpg,neutral,"{'angry': 0.062, 'disgust': 0.0, 'fear': 0.001, 'happy': 28.665, 'sad': 0.08, 'surprise': 0.027, 'neutral': 71.165}",Low Stress
test_0106_aligned.jpg,fear,"{'angry': 18.243, 'disgust': 0.007, 'fear': 32.326, 'happy': 5.28, 'sad': 28.026, 'surprise': 7.802, 'neutral': 8.315}",Undefined Stress
test_0108_aligned.jpg,neutral,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.001, 'happy': 2.786, 'sad': 0.025, 'surprise': 0.0, 'neutral': 97.189}",Low Stress
test_0109_aligned.jpg,happy,"{'angry': 0.001, 'disgust': 0.0, 'fear': 0.0, 'happy': 99.372, 'sad': 0.003, 'surprise': 0.006, 'neutral': 0.618}",Low Stress
