file_name,dominant_emotion,emotions,stress_level
test_0016_aligned.jpg,neutral,"{'angry': 0.003, 'disgust': 0.0, 'fear': 0.002, 'happy': 13.45, 'sad': 0.85, 'surprise': 0.002, 'neutral': 85.693}",Low Stress
test_0052_aligned.jpg,neutral,"{'angry': 3.921, 'disgust': 0.006, 'fear': 2.906, 'happy': 2.481, 'sad': 33.951, 'surprise': 0.01, 'neutral': 56.725}",Low Stress
test_0055_aligned.jpg,neutral,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.001, 'happy': 12.708, 'sad': 0.044, 'surprise': 0.0, 'neutral': 87.247}",Low Stress
test_0064_aligned.jpg,neutral,"{'angry': 0.068, 'disgust': 0.0, 'fear': 0.005, 'happy': 0.0, 'sad': 39.329, 'surprise': 0.0, 'neutral': 60.598}",Low Stress
test_0079_aligned.jpg,neutral,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 11.162, 'sad': 0.0, 'surprise': 0.0, 'neutral': 88.838}",Low Stress
test_0116_aligned.jpg,neutral,"{'angry': 2.551, 'disgust': 0.0, 'fear': 0.374, 'happy': 0.173, 'sad': 6.091, 'surprise': 0.002, 'neutral': 90.809}",Low Stress
test_0162_aligned.jpg,neutral,"{'angry': 0.022, 'disgust': 0.0, 'fear': 0.066, 'happy': 3.521, 'sad': 1.849, 'surprise': 0.0, 'neutral': 94.541}",Low Stress
test_0164_aligned.jpg,neutral,"{'angry': 0.005, 'disgust': 0.0, 'fear': 0.026, 'happy': 1.862, 'sad': 0.142, 'surprise': 0.0, 'neutral': 97.966}",Low Stress
test_0168_aligned.jpg,neutral,"{'angry': 0.849, 'disgust': 0.0, 'fear': 0.014, 'happy': 0.791, 'sad': 1.984, 'surprise': 0.007, 'neutral': 96.355}",Low Stress
test_0203_aligned.jpg,neutral,"{'angry': 12.788, 'disgust': 0.001, 'fear': 15.076, 'happy': 0.057, 'sad': 17.926, 'surprise': 0.0, 'neutral': 54.152}",Low Stress
test_0784_aligned.jpg,neutral,"{'angry': 11.038, 'disgust': 0.0, 'fear': 0.0, 'happy': 29.294, 'sad': 0.226, 'surprise': 0.0, 'neutral': 59.441}",Low Stress
test_0874_aligned.jpg,neutral,"{'angry': 0.058, 'disgust': 0.0, 'fear': 0.297, 'happy': 30.155, 'sad': 0.324, 'surprise': 0.024, 'neutral': 69.142}",Low Stress
test_0906_aligned.jpg,neutral,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 100.0}",Low Stress
test_1064_aligned.jpg,neutral,"{'angry': 0.132, 'disgust': 0.0, 'fear': 0.041, 'happy': 0.003, 'sad': 1.45, 'surprise': 0.0, 'neutral': 98.374}",Low Stress
test_1099_aligned.jpg,neutral,"{'angry': 0.589, 'disgust': 0.0, 'fear': 2.396, 'happy': 0.016, 'sad': 1.263, 'surprise': 0.033, 'neutral': 95.702}",Low Stress
test_1130_aligned.jpg,neutral,"{'angry': 0.036, 'disgust': 0.0, 'fear': 0.14, 'happy': 5.802, 'sad': 1.368, 'surprise': 0.003, 'neutral': 92.652}",Low Stress
test_1175_aligned.jpg,neutral,"{'angry': 34.983, 'disgust': 0.015, 'fear': 2.963, 'happy': 1.636, 'sad': 19.867, 'surprise': 0.167, 'neutral': 40.369}",Undefined Stress
test_1187_aligned.jpg,neutral,"{'angry': 10.167, 'disgust': 0.0, 'fear': 2.323, 'happy': 6.68, 'sad': 3.671, 'surprise': 0.051, 'neutral': 77.107}",Low Stress
test_1196_aligned.jpg,neutral,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.0, 'happy': 2.228, 'sad': 0.023, 'surprise': 0.0, 'neutral': 97.749}",Low Stress
test_1197_aligned.jpg,angry,"{'angry': 73.391, 'disgust': 0.0, 'fear': 0.305, 'happy': 10.667, 'sad': 7.866, 'surprise': 1.288, 'neutral': 6.483}",High Stress
test_1213_aligned.jpg,neutral,"{'angry': 1.895, 'disgust': 0.0, 'fear': 0.463, 'happy': 12.351, 'sad': 7.235, 'surprise': 0.011, 'neutral': 78.046}",Low Stress
test_1219_aligned.jpg,neutral,"{'angry': 0.083, 'disgust': 0.0, 'fear': 0.012, 'happy': 1.129, 'sad': 7.016, 'surprise': 0.0, 'neutral': 91.76}",Low Stress
test_1243_aligned.jpg,neutral,"{'angry': 0.009, 'disgust': 0.0, 'fear': 0.001, 'happy': 9.015, 'sad': 0.044, 'surprise': 0.0, 'neutral': 90.932}",Low Stress
test_1255_aligned.jpg,sad,"{'angry': 10.292, 'disgust': 0.0, 'fear': 19.211, 'happy': 2.846, 'sad': 40.313, 'surprise': 0.079, 'neutral': 27.26}",Undefined Stress
test_1257_aligned.jpg,neutral,"{'angry': 2.04, 'disgust': 0.0, 'fear': 0.073, 'happy': 0.15, 'sad': 11.639, 'surprise': 0.0, 'neutral': 86.099}",Low Stress
test_1279_aligned.jpg,neutral,"{'angry': 6.084, 'disgust': 0.0, 'fear': 5.069, 'happy': 0.029, 'sad': 39.633, 'surprise': 0.0, 'neutral': 49.185}",Undefined Stress
test_1337_aligned.jpg,fear,"{'angry': 1.119, 'disgust': 0.0, 'fear': 94.844, 'happy': 3.956, 'sad': 0.012, 'surprise': 0.0, 'neutral': 0.069}",Medium Stress
test_1387_aligned.jpg,neutral,"{'angry': 12.638, 'disgust': 0.0, 'fear': 0.534, 'happy': 0.103, 'sad': 19.033, 'surprise': 0.002, 'neutral': 67.691}",Low Stress
test_1415_aligned.jpg,neutral,"{'angry': 1.524, 'disgust': 0.0, 'fear': 4.637, 'happy': 13.141, 'sad': 2.049, 'surprise': 1.882, 'neutral': 76.766}",Low Stress
test_1501_aligned.jpg,neutral,"{'angry': 1.186, 'disgust': 0.0, 'fear': 11.798, 'happy': 0.109, 'sad': 11.824, 'surprise': 0.002, 'neutral': 75.081}",Low Stress
test_1502_aligned.jpg,neutral,"{'angry': 3.584, 'disgust': 0.0, 'fear': 0.023, 'happy': 3.508, 'sad': 2.846, 'surprise': 0.001, 'neutral': 90.038}",Low Stress
test_1558_aligned.jpg,neutral,"{'angry': 0.005, 'disgust': 0.0, 'fear': 0.008, 'happy': 15.298, 'sad': 1.188, 'surprise': 0.0, 'neutral': 83.5}",Low Stress
test_1841_aligned.jpg,sad,"{'angry': 0.436, 'disgust': 0.0, 'fear': 4.525, 'happy': 0.003, 'sad': 95.033, 'surprise': 0.0, 'neutral': 0.003}",Medium Stress
test_1844_aligned.jpg,neutral,"{'angry': 4.117, 'disgust': 0.0, 'fear': 0.062, 'happy': 7.132, 'sad': 0.663, 'surprise': 0.001, 'neutral': 88.025}",Low Stress
test_1852_aligned.jpg,neutral,"{'angry': 0.189, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.001, 'sad': 2.247, 'surprise': 0.0, 'neutral': 97.563}",Low Stress
test_1865_aligned.jpg,neutral,"{'angry': 0.712, 'disgust': 0.0, 'fear': 0.15, 'happy': 1.517, 'sad': 18.348, 'surprise': 0.0, 'neutral': 79.272}",Low Stress
test_1883_aligned.jpg,neutral,"{'angry': 0.347, 'disgust': 0.0, 'fear': 0.001, 'happy': 38.48, 'sad': 0.085, 'surprise': 0.105, 'neutral': 60.982}",Low Stress
test_1888_aligned.jpg,angry,"{'angry': 76.713, 'disgust': 0.003, 'fear': 3.004, 'happy': 1.198, 'sad': 18.984, 'surprise': 0.0, 'neutral': 0.097}",High Stress
