file_name,dominant_emotion,emotions,stress_level
test_0005_aligned.jpg,sad,"{'angry': 0.1, 'disgust': 0.0, 'fear': 0.14, 'happy': 0.008, 'sad': 74.733, 'surprise': 0.0, 'neutral': 25.018}",Undefined Stress
test_0006_aligned.jpg,sad,"{'angry': 10.427, 'disgust': 0.0, 'fear': 25.381, 'happy': 0.024, 'sad': 61.914, 'surprise': 0.001, 'neutral': 2.254}",Undefined Stress
test_0022_aligned.jpg,neutral,"{'angry': 7.035, 'disgust': 0.0, 'fear': 0.037, 'happy': 2.944, 'sad': 8.006, 'surprise': 0.002, 'neutral': 81.976}",Low Stress
test_0024_aligned.jpg,neutral,"{'angry': 0.81, 'disgust': 0.0, 'fear': 0.535, 'happy': 0.037, 'sad': 11.298, 'surprise': 0.0, 'neutral': 87.32}",Low Stress
test_0030_aligned.jpg,sad,"{'angry': 0.452, 'disgust': 0.001, 'fear': 1.345, 'happy': 0.0, 'sad': 98.05, 'surprise': 0.001, 'neutral': 0.152}",Medium Stress
test_0036_aligned.jpg,neutral,"{'angry': 0.089, 'disgust': 0.006, 'fear': 4.224, 'happy': 0.414, 'sad': 41.078, 'surprise': 0.001, 'neutral': 54.188}",Low Stress
test_0045_aligned.jpg,sad,"{'angry': 1.029, 'disgust': 0.0, 'fear': 0.027, 'happy': 20.887, 'sad': 74.721, 'surprise': 0.15, 'neutral': 3.186}",Undefined Stress
test_0049_aligned.jpg,sad,"{'angry': 0.04, 'disgust': 0.024, 'fear': 0.011, 'happy': 0.138, 'sad': 99.636, 'surprise': 0.0, 'neutral': 0.151}",Medium Stress
test_0062_aligned.jpg,sad,"{'angry': 8.748, 'disgust': 0.003, 'fear': 38.317, 'happy': 0.074, 'sad': 49.488, 'surprise': 0.068, 'neutral': 3.301}",Undefined Stress
test_0070_aligned.jpg,sad,"{'angry': 0.268, 'disgust': 0.003, 'fear': 4.037, 'happy': 0.018, 'sad': 95.653, 'surprise': 0.005, 'neutral': 0.016}",Medium Stress
test_0080_aligned.jpg,fear,"{'angry': 4.701, 'disgust': 0.0, 'fear': 83.021, 'happy': 0.375, 'sad': 11.469, 'surprise': 0.011, 'neutral': 0.423}",Medium Stress
test_0095_aligned.jpg,neutral,"{'angry': 14.943, 'disgust': 0.018, 'fear': 11.25, 'happy': 2.93, 'sad': 23.127, 'surprise': 0.077, 'neutral': 47.655}",Undefined Stress
test_0100_aligned.jpg,neutral,"{'angry': 1.576, 'disgust': 0.001, 'fear': 14.893, 'happy': 0.996, 'sad': 34.281, 'surprise': 0.001, 'neutral': 48.252}",Undefined Stress
test_0134_aligned.jpg,happy,"{'angry': 0.365, 'disgust': 0.0, 'fear': 0.0, 'happy': 97.711, 'sad': 1.761, 'surprise': 0.0, 'neutral': 0.163}",Low Stress
test_0142_aligned.jpg,sad,"{'angry': 0.003, 'disgust': 0.0, 'fear': 23.119, 'happy': 0.005, 'sad': 69.397, 'surprise': 0.0, 'neutral': 7.476}",Medium Stress
test_0145_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 8.52, 'happy': 76.662, 'sad': 6.896, 'surprise': 0.002, 'neutral': 7.919}",Low Stress
test_0152_aligned.jpg,sad,"{'angry': 0.037, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.0, 'sad': 99.427, 'surprise': 0.0, 'neutral': 0.536}",Medium Stress
test_0156_aligned.jpg,neutral,"{'angry': 0.097, 'disgust': 0.0, 'fear': 0.164, 'happy': 0.007, 'sad': 0.336, 'surprise': 0.0, 'neutral': 99.396}",Low Stress
test_0160_aligned.jpg,sad,"{'angry': 5.512, 'disgust': 0.007, 'fear': 2.972, 'happy': 0.002, 'sad': 90.963, 'surprise': 0.0, 'neutral': 0.544}",Medium Stress
test_0202_aligned.jpg,sad,"{'angry': 9.488, 'disgust': 0.121, 'fear': 39.363, 'happy': 4.571, 'sad': 46.252, 'surprise': 0.031, 'neutral': 0.174}",Undefined Stress
test_0211_aligned.jpg,sad,"{'angry': 1.19, 'disgust': 0.004, 'fear': 4.392, 'happy': 0.929, 'sad': 93.486, 'surprise': 0.0, 'neutral': 0.0}",Medium Stress
test_0242_aligned.jpg,disgust,"{'angry': 0.724, 'disgust': 83.014, 'fear': 3.461, 'happy': 0.001, 'sad': 12.276, 'surprise': 0.027, 'neutral': 0.498}",High Stress
test_0264_aligned.jpg,happy,"{'angry': 1.454, 'disgust': 0.004, 'fear': 0.543, 'happy': 70.153, 'sad': 26.059, 'surprise': 0.017, 'neutral': 1.77}",Low Stress
test_0273_aligned.jpg,fear,"{'angry': 15.449, 'disgust': 1.03, 'fear': 50.535, 'happy': 0.285, 'sad': 31.408, 'surprise': 0.384, 'neutral': 0.91}",Undefined Stress
test_0276_aligned.jpg,angry,"{'angry': 97.062, 'disgust': 0.014, 'fear': 2.617, 'happy': 0.008, 'sad': 0.278, 'surprise': 0.002, 'neutral': 0.019}",High Stress
