file_name,dominant_emotion,emotions,stress_level
test_0002_aligned.jpg,neutral,"{'angry': 0.0, 'disgust': 0.0, 'fear': 0.063, 'happy': 0.0, 'sad': 0.057, 'surprise': 27.916, 'neutral': 71.963}",Low Stress
test_0004_aligned.jpg,angry,"{'angry': 99.997, 'disgust': 0.0, 'fear': 0.002, 'happy': 0.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 0.0}",High Stress
test_0008_aligned.jpg,surprise,"{'angry': 25.997, 'disgust': 0.051, 'fear': 31.944, 'happy': 0.191, 'sad': 0.122, 'surprise': 41.546, 'neutral': 0.148}",Undefined Stress
test_0015_aligned.jpg,neutral,"{'angry': 0.127, 'disgust': 0.0, 'fear': 0.0, 'happy': 0.039, 'sad': 0.011, 'surprise': 0.03, 'neutral': 99.793}",Low Stress
test_0084_aligned.jpg,neutral,"{'angry': 1.005, 'disgust': 0.0, 'fear': 9.271, 'happy': 0.011, 'sad': 20.13, 'surprise': 0.05, 'neutral': 69.533}",Low Stress
test_0090_aligned.jpg,angry,"{'angry': 98.786, 'disgust': 0.0, 'fear': 0.339, 'happy': 0.043, 'sad': 0.827, 'surprise': 0.0, 'neutral': 0.005}",High Stress
test_0094_aligned.jpg,happy,"{'angry': 0.014, 'disgust': 0.0, 'fear': 0.429, 'happy': 76.11, 'sad': 0.066, 'surprise': 22.867, 'neutral': 0.513}",Low Stress
test_0096_aligned.jpg,neutral,"{'angry': 0.0, 'disgust': 0.0, 'fear': 3.238, 'happy': 0.0, 'sad': 0.0, 'surprise': 0.0, 'neutral': 96.761}",Low Stress
test_0102_aligned.jpg,neutral,"{'angry': 0.227, 'disgust': 0.0, 'fear': 0.078, 'happy': 0.0, 'sad': 2.725, 'surprise': 0.061, 'neutral': 96.91}",Low Stress
test_0104_aligned.jpg,surprise,"{'angry': 15.679, 'disgust': 0.0, 'fear': 36.548, 'happy': 0.194, 'sad': 1.241, 'surprise': 46.336, 'neutral': 0.001}",Undefined Stress
test_0125_aligned.jpg,happy,"{'angry': 0.0, 'disgust': 0.0, 'fear': 3.857, 'happy': 96.102, 'sad': 0.003, 'surprise': 0.038, 'neutral': 0.0}",Low Stress
test_0127_aligned.jpg,neutral,"{'angry': 10.103, 'disgust': 0.078, 'fear': 23.935, 'happy': 3.161, 'sad': 23.941, 'surprise': 1.184, 'neutral': 37.599}",Undefined Stress
test_0147_aligned.jpg,angry,"{'angry': 97.712, 'disgust': 0.0, 'fear': 0.0, 'happy': 1.745, 'sad': 0.027, 'surprise': 0.001, 'neutral': 0.515}",High Stress
test_0163_aligned.jpg,happy,"{'angry': 0.042, 'disgust': 0.0, 'fear': 0.005, 'happy': 69.603, 'sad': 0.619, 'surprise': 0.006, 'neutral': 29.724}",Low Stress
test_0165_aligned.jpg,surprise,"{'angry': 0.026, 'disgust': 0.0, 'fear': 0.073, 'happy': 0.039, 'sad': 0.0, 'surprise': 99.861, 'neutral': 0.0}",Medium Stress
test_0189_aligned.jpg,neutral,"{'angry': 1.589, 'disgust': 0.002, 'fear': 2.599, 'happy': 30.253, 'sad': 6.616, 'surprise': 0.942, 'neutral': 57.999}",Low Stress
test_0195_aligned.jpg,neutral,"{'angry': 0.567, 'disgust': 0.0, 'fear': 0.26, 'happy': 0.045, 'sad': 14.094, 'surprise': 0.016, 'neutral': 85.019}",Low Stress
test_0196_aligned.jpg,neutral,"{'angry': 4.975, 'disgust': 0.0, 'fear': 6.344, 'happy': 0.004, 'sad': 16.293, 'surprise': 0.101, 'neutral': 72.283}",Low Stress
test_0197_aligned.jpg,sad,"{'angry': 22.85, 'disgust': 0.016, 'fear': 12.389, 'happy': 0.089, 'sad': 43.427, 'surprise': 0.002, 'neutral': 21.227}",Undefined Stress
test_0198_aligned.jpg,fear,"{'angry': 0.578, 'disgust': 0.019, 'fear': 78.649, 'happy': 0.501, 'sad': 13.69, 'surprise': 0.007, 'neutral': 6.557}",Medium Stress
test_0200_aligned.jpg,fear,"{'angry': 12.402, 'disgust': 0.001, 'fear': 78.835, 'happy': 1.304, 'sad': 5.845, 'surprise': 1.121, 'neutral': 0.491}",Undefined Stress
